time,lat,lon,surface_sal,year
1882-08-10 03:00:00.000000000,70.13333,31.95,33.8,1882
1882-08-27 06:45:00.000000000,69.7,33.2,33.3,1882
1882-08-27 09:30:00.000858112,69.85,32.616665,33.3,1882
1882-08-27 13:30:00.000000000,70.21667,31.55,34.4,1882
1882-08-31 19:59:59.998283264,70.25,60.416668,11.73,1882
1882-09-04 19:59:59.998283264,70.066666,61.133335,15.68,1882
1882-09-14 19:59:59.998283264,69.73333,64.0,20.93,1882
1882-09-26 19:59:59.998283264,70.13333,64.1,17.38,1882
1883-02-01 19:59:59.998283264,71.066666,64.333336,31.44,1883
1883-02-05 19:59:59.998283264,71.05,64.01667,28.8,1883
1883-02-07 19:59:59.998283264,71.01667,64.0,27.5,1883
1883-02-09 19:59:59.998283264,71.01667,63.95,28.8,1883
1883-02-11 19:59:59.998283264,71.03333,64.0,26.18,1883
1883-02-12 19:59:59.998283264,71.05,64.05,30.12,1883
1883-02-13 19:59:59.998283264,71.066666,64.083336,28.15,1883
